Best: -0.44544453620910646 using {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.9843183517456054 (0.2901214618575965) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 64}
-0.9786653399467469 (0.2903176337247781) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 128}
-0.4542332887649536 (0.0043406545643165486) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 8}
-0.454841810464859 (0.004892339012678364) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 16}
-0.45657739639282224 (0.0020320588936825587) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 32}
-0.4559323012828827 (0.002665456112068595) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 64}
-0.45433918833732606 (0.0033643172178280355) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 128}
-0.9895213007926941 (0.28760066393607703) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 8}
-0.979987633228302 (0.2920729519845981) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 16}
-0.9759153962135315 (0.290171982691818) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 32}
-0.9705087542533875 (0.2903147397923554) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 64}
-0.9681890964508056 (0.2920685075278868) with: {'layers': 3, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 128}
-0.4486576795578003 (0.0026463058469484895) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 8}
-0.4508396923542023 (0.0028838797240586544) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 16}
-0.4520553469657898 (0.002787420899382399) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 32}
-0.45092223286628724 (0.0029320528483024145) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 64}
-0.4511337399482727 (0.0031760785346839344) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 128}
-0.9825153589248657 (0.2898041064278333) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 8}
-0.9742741346359253 (0.2894366445598747) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 16}
-0.9662975549697876 (0.2923986591833389) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 32}
-0.9605738759040833 (0.2914765338576908) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 64}
-0.9592401146888733 (0.292185597394768) with: {'layers': 3, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 128}
-0.4461847186088562 (0.0018801335888663606) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 8}
-0.4465507328510284 (0.0026441360081607733) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 16}
-0.4464479982852936 (0.0030444209436548885) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 32}
-0.44656972885131835 (0.0024790018548256085) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 64}
-0.4463285326957703 (0.0025845851610104263) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 128}
-0.973950183391571 (0.29159442107483524) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 8}
-0.9653763175010681 (0.2911963906110376) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 16}
-0.9566131114959717 (0.2928959594212981) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 32}
-0.9542628645896911 (0.29326518597340245) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 64}
-0.9523501515388488 (0.29172410414370176) with: {'layers': 3, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 128}
-0.44595618844032286 (0.0025094044977196344) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 8}
-0.44551259875297544 (0.002610353483657906) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 16}
-0.44575728178024293 (0.002635047827510817) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.44574103951454164 (0.0026523468611296492) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 64}
-0.4462015450000763 (0.0030061517926571794) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 128}
-0.9725429058074951 (0.2920311104720535) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 8}
-0.9556460499763488 (0.29827799106985164) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 16}
-0.9496929287910462 (0.29191379471208334) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 32}
-0.9478851318359375 (0.29221777499150337) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 64}
-0.9446639299392701 (0.2923078040901924) with: {'layers': 3, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 128}
-0.4487456202507019 (0.002728707646015233) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 8}
-0.4473812639713287 (0.002714154891006516) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 16}
-0.4471901834011078 (0.0013684477014293515) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 32}
-0.44778514504432676 (0.0014207370369689375) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 64}
-0.44762688875198364 (0.003697660015941342) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 128}
-0.9781590938568115 (0.29106494245982073) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 8}
-0.957888400554657 (0.2955753510012185) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 16}
-0.9596117854118347 (0.29217418894957975) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 32}
-0.9517863273620606 (0.28918903723020445) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 64}
-0.9657772779464722 (0.29125698548810947) with: {'layers': 3, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 128}
-0.5319132387638092 (0.06973312633032387) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 8}
-0.5114578604698181 (0.02715635531432805) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 16}
-0.4965258359909058 (0.02109691148518195) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 32}
-0.4781630218029022 (0.010278818843512422) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 64}
-0.47099930644035337 (0.011334486124085177) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 128}
-1.028052067756653 (0.2896442783116225) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 8}
-1.0671121239662171 (0.28024073269307853) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 16}
-1.046384906768799 (0.28731061111404277) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 32}
-1.0180206298828125 (0.28835197606576024) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 64}
-1.0067867279052733 (0.28615281871236975) with: {'layers': 4, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 128}
-0.5098319590091706 (0.02977768541136915) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 8}
-0.4800384283065796 (0.018536430307614253) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 16}
-0.4758926033973694 (0.016279218006774135) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 32}
-0.4686010956764221 (0.00690441509763356) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 64}
-0.459132581949234 (0.0037534701157707663) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 128}
-1.0174405336380006 (0.2787175811490347) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 8}
-1.036029613018036 (0.29737644007009917) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 16}
-1.0127318501472473 (0.29809300980689923) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 32}
-1.004567801952362 (0.2887194571916947) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 64}
-1.002268171310425 (0.2907045086889495) with: {'layers': 4, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 128}
-0.4797394394874573 (0.004681578038449024) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 8}
-0.4696232795715332 (0.010176112123405546) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 16}
-0.4736039757728577 (0.0148017011539793) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 32}
-0.46063694953918455 (0.005340833789123305) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 64}
-0.45773749947547915 (0.005728301892064949) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 128}
-1.009091079235077 (0.2895414573130783) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 8}
-1.008721685409546 (0.28903859788254266) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 16}
-0.9993034124374389 (0.28853736478573455) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 32}
-1.0021727085113525 (0.29272435177955825) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 64}
-0.9971501231193542 (0.2890949586762874) with: {'layers': 4, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 128}
-0.4572958886623383 (0.005438893826362699) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 8}
-0.4601170539855957 (0.005853347065563581) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 16}
-0.45616514682769777 (0.00415860257574389) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 32}
-0.4599913239479065 (0.0039345003853251915) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 64}
-0.4593310832977295 (0.0061775584535230625) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 128}
-0.9929823637008667 (0.2882418393888116) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 8}
-0.9962250709533691 (0.2882712636863968) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 16}
-0.9931336879730225 (0.29212784569925015) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 32}
-0.9868305206298829 (0.2892494021457637) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 64}
-0.9841785430908203 (0.2900197222041072) with: {'layers': 4, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 128}
-0.4516030490398407 (0.002930243795486264) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 8}
-0.4532578825950623 (0.003668661453990444) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 16}
-0.45324071049690245 (0.003958103506979969) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 32}
-0.4534944474697113 (0.002919408957781091) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 64}
-0.4539244532585144 (0.002882544170540201) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 128}
-0.9897452592849731 (0.2904390212104847) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 8}
-0.989155900478363 (0.2920057705630803) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 16}
-0.9807883381843567 (0.29576257781557036) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 32}
-0.9758738517761231 (0.29077654284793275) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 64}
-0.9748178362846375 (0.2908548074326287) with: {'layers': 4, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 128}
-0.44889310002326965 (0.003407691365443) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 8}
-0.4504382789134979 (0.003438956854465734) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 16}
-0.4502097189426422 (0.002065163390146525) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 32}
-0.4503321051597595 (0.003659794354552102) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 64}
-0.45048598051071165 (0.0026668199104463667) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 128}
-0.9880764722824097 (0.2865309433535075) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 8}
-0.9779916048049927 (0.28811905753061867) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 16}
-0.9718137741088867 (0.28895255528154384) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 32}
-0.967052447795868 (0.29131389034441063) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 64}
-0.9661089062690735 (0.288210848646107) with: {'layers': 4, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 128}
-0.4457928895950317 (0.0031587765351643376) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 8}
-0.44599480032920835 (0.0025931099361780705) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 16}
-0.4457020878791809 (0.002437041407495373) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 32}
-0.4464809477329254 (0.0025854084764125986) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 64}
-0.44666507840156555 (0.0025951692815975205) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 128}
-0.983198344707489 (0.2868630978389084) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 8}
-0.967328691482544 (0.2922060034915659) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 16}
-0.9612775564193725 (0.29158867298652885) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 32}
-0.9588718175888061 (0.28900908886222487) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 64}
-0.9531670928001403 (0.29156333245061805) with: {'layers': 4, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 128}
-0.4456873834133148 (0.0018537111678952442) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 8}
-0.4454502403736115 (0.0025354111618908176) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 16}
-0.44544453620910646 (0.0024919587250149928) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.44558926820755007 (0.00274586698714618) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 64}
-0.44597628712654114 (0.0024197937799609833) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 128}
-0.9716600894927978 (0.2887951022488765) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 8}
-0.9572256088256836 (0.29076798469202075) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 16}
-0.9502236008644104 (0.291788188432789) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 32}
-0.9489665746688842 (0.2906900556549525) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 64}
-0.950561773777008 (0.2893788110852895) with: {'layers': 4, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 128}
-0.44742506742477417 (0.003395659363297138) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 8}
-0.4469995081424713 (0.0038629724067415485) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 16}
-0.4462473690509796 (0.0029461572531443775) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 32}
-0.4467426180839539 (0.0027738421960171607) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 64}
-0.44971807599067687 (0.002958333711566532) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 128}
-0.9884174823760986 (0.28841947887212555) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 8}
-0.9598070502281189 (0.2969044172846218) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 16}
-0.9515747427940369 (0.2903972895959145) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 32}
-0.9780980110168457 (0.2943397616443154) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 64}
-0.9574149250984192 (0.2898863044855917) with: {'layers': 4, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 128}
